"file","soil_series"
"CA-2011-05-27-05.tif","Edminster"
"CA-2011-05-27-05.tif","Kesterson"
"CA-2011-05-27-05.tif","Los Oneil"
"CA-2011-05-27-05.tif","Marcuse"
"CA-2011-05-27-05.tif","Redcat"
"CA-2011-05-27-05.tif","Stanislaus"
"CA-2011-05-27-05.tif","Triangle"
"CA-2011-05-27-05.tif","Turlock"
"CA-2011-05-27-05.tif","Volta"
"CA-2011-05-27-05.tif","Wisflat"
"CA-2011-05-27-05.tif","Woo"
"CA-2011-05-27-06.tif","Ararat"
"CA-2011-05-27-06.tif","Arburua"
"CA-2011-05-27-06.tif","Bapos"
"CA-2011-05-27-06.tif","Contra Costa"
"CA-2011-05-27-06.tif","Damluis"
"CA-2011-05-27-06.tif","Fifield"
"CA-2011-05-27-06.tif","Honker"
"CA-2011-05-27-06.tif","Laveaga"
"CA-2011-05-27-06.tif","Los Banos"
"CA-2011-05-27-06.tif","Millsholm"
"CA-2011-05-27-06.tif","Orognen"
"CA-2011-05-27-06.tif","Peckham"
"CA-2011-05-27-06.tif","Quiensabe"
"CA-2011-05-27-06.tif","Quinto"
"CA-2011-05-27-06.tif","Tunehill"
"CA-2011-05-27-06.tif","Wisflat"
"CA-2011-05-27-07.tif","Americanos"
"CA-2011-05-27-07.tif","Bruella"
"CA-2011-05-27-07.tif","Columbia"
"CA-2011-05-27-07.tif","Fiddyment"
"CA-2011-05-27-07.tif","Hedge"
"CA-2011-05-27-07.tif","Natomas"
"CA-2011-05-27-07.tif","Red Bluff"
"CA-2011-05-27-07.tif","Redding"
"CA-2011-05-27-07.tif","Rossmoor"
"CA-2011-05-27-07.tif","San Joaquin"
"CA-2011-05-27-08.tif","Amador"
"CA-2011-05-27-08.tif","Auburn"
"CA-2011-05-27-08.tif","Columbia"
"CA-2011-05-27-08.tif","Creviscreek"
"CA-2011-05-27-08.tif","Fiddyment"
"CA-2011-05-27-08.tif","Gillender"
"CA-2011-05-27-08.tif","Hadselville"
"CA-2011-05-27-08.tif","Joaquin"
"CA-2011-05-27-08.tif","Mokelumne"
"CA-2011-05-27-08.tif","Pentz"
"CA-2011-05-27-08.tif","San Redding"
"CA-2011-05-27-08.tif","Vleck"
"CA-2011-05-27-09.tif","Accelerator"
"CA-2011-05-27-09.tif","Alambique"
"CA-2011-05-27-09.tif","Fagan"
"CA-2011-05-27-09.tif","Francisquito"
"CA-2011-05-27-09.tif","McGarvey "
"CA-2011-05-27-10.tif","Botella"
"CA-2011-05-27-10.tif","Fagan"
"CA-2011-05-27-10.tif","Novato"
"CA-2011-05-27-10.tif","Obispo"
"CA-2011-05-27-10.tif","Orthents"
"CA-2011-05-27-10.tif","Reyes"
"CA-2012-04-20-01.tif","Abaft"
"CA-2012-04-20-01.tif","Buoy"
"CA-2012-04-20-01.tif","Cumulic Haploxerolls"
"CA-2012-04-20-01.tif","Delphine"
"CA-2012-04-20-01.tif","Fiale"
"CA-2012-04-20-01.tif","Frigate"
"CA-2012-04-20-01.tif","Gunwale"
"CA-2012-04-20-01.tif","Lodestone"
"CA-2012-04-20-01.tif","Macool"
"CA-2012-04-20-01.tif","Miasotus"
"CA-2012-04-20-01.tif","Rudder"
"CA-2012-04-20-01.tif","Spinnaker"
"CA-2012-04-20-01.tif","Starboard"
"CA-2012-04-20-01.tif","Tongva"
"CA-2012-04-20-01.tif","Topdeck"
"CA-2012-04-20-01.tif","Typic Argixerolls"
"CA-2012-04-20-01.tif","Typic Xerorthents"
"CA-2012-04-20-01.tif","Windage"
"CA-2012-04-20-01.tif","Yardarm"
"CA-2012-04-20-03.tif","Acroph"
"CA-2012-04-20-03.tif","Aquepts"
"CA-2012-04-20-03.tif","Chaos"
"CA-2012-04-20-03.tif","Cragwash"
"CA-2012-04-20-03.tif","Emeraldlake"
"CA-2012-04-20-03.tif","Readingpeak"
"CA-2012-04-20-03.tif","Sueredo"
"CA-2012-04-20-03.tif","Shadowlake"
"CA-2012-04-20-03.tif","Terracelake"
"CA-2012-04-20-03.tif","Typic Petraquepts"
"CA-2012-04-20-03.tif","Vitrandic Cryorthents"
